,type,title,release_year,api_url,target_url,audience_score,tomato_score
6813,Movie,Frozen River,2008,https://www.rottentomatoes.com/api/private/v2.0/search?q=Frozen+River,https://www.rottentomatoes.com/m/frozen_river,74,88
6814,Movie,Full Out,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=Full+Out,https://www.rottentomatoes.com/m/full_out,51,-1
6815,Movie,Functional Fitness,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Functional+Fitness,https://www.rottentomatoes.com/m/functional_fitness,36,-1
6816,Movie,Furie,2019,https://www.rottentomatoes.com/api/private/v2.0/search?q=Furie,https://www.rottentomatoes.com/m/sex_and_fury,73,-1
6817,Movie,Furthest Witness,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Furthest+Witness,https://www.rottentomatoes.com/m/furthest_witness,-1,-1
6818,Movie,G-Force,2009,https://www.rottentomatoes.com/api/private/v2.0/search?q=G-Force,https://www.rottentomatoes.com/m/10009462-g_force,39,22
6819,Movie,Gabriel and the Mountain,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gabriel+and+the+Mountain,https://www.rottentomatoes.com/m/gabriel_and_the_mountain,70,84
6820,TV Show,Gabru: Hip Hop Revolution,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gabru:+Hip+Hop+Revolution,Not found on RT,-2,-2
6821,Movie,Gagarin: First in Space,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gagarin:+First+in+Space,https://www.rottentomatoes.com/m/gagarin_pervyy_v_kosmose,66,-1
6822,TV Show,Galavant,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Galavant,https://www.rottentomatoes.com/tv/galavant,93,89
6823,Movie,Galih dan Ratna,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Galih+dan+Ratna,Not found on RT,-2,-2
6824,TV Show,Game Winning Hit,2009,https://www.rottentomatoes.com/api/private/v2.0/search?q=Game+Winning+Hit,Not found on RT,-2,-2
6825,TV Show,Gangs of Hassepur,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gangs+of+Hassepur,Not found on RT,-2,-2
6826,Movie,Gangs of New York,2002,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gangs+of+New+York,https://www.rottentomatoes.com/m/gangs_of_new_york,81,72
6827,TV Show,Gargantia on the Verdurous Planet,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gargantia+on+the+Verdurous+Planet,Not found on RT,-2,-2
6828,Movie,Garuda Di Dadaku,2009,https://www.rottentomatoes.com/api/private/v2.0/search?q=Garuda+Di+Dadaku,https://www.rottentomatoes.com/m/garuda-di-dadaku,-1,-1
6829,Movie,Garuda in My Heart 2,2011,https://www.rottentomatoes.com/api/private/v2.0/search?q=Garuda+in+My+Heart+2,Not found on RT,-2,-2
6830,Movie,Gehenna: Where Death Lives,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gehenna:+Where+Death+Lives,https://www.rottentomatoes.com/m/gehenna_where_death_lives,39,50
6831,Movie,Gelo,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gelo,https://www.rottentomatoes.com/m/jealousy_italian_style,89,-1
6832,Movie,Gemini,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gemini,https://www.rottentomatoes.com/m/gemini_2018,41,71
6833,Movie,Gender Revolution: A Journey with Katie Couric,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gender+Revolution:+A+Journey+with+Katie+Couric,https://www.rottentomatoes.com/m/gender_revolution_a_journey_with_katie_couric,-2,-2
6834,TV Show,Genius of the Ancient World,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=Genius+of+the+Ancient+World,Not found on RT,-2,-2
6835,TV Show,Genius of the Modern World,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Genius+of+the+Modern+World,Not found on RT,-2,-2
6836,TV Show,Gentlemen and Gangsters,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gentlemen+and+Gangsters,Not found on RT,-2,-2
6837,Movie,George of the Jungle 2,2003,https://www.rottentomatoes.com/api/private/v2.0/search?q=George+of+the+Jungle+2,https://www.rottentomatoes.com/m/george_of_the_jungle_2,20,17
6838,TV Show,Geronimo Stilton,2011,https://www.rottentomatoes.com/api/private/v2.0/search?q=Geronimo+Stilton,Not found on RT,-2,-2
